name,email,course,date,login_count,session_minutes,quiz_score,submitted
Student_23798,s23798@university.edu,Social Sciences,2026-03-14,0,12.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-03-24,0,8.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-03-25,3,70.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-03-27,1,36.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-03-30,2,44.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-03-31,0,18.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-04-04,1,36.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-04-05,0,6.0,90.0,1
Student_23798,s23798@university.edu,Social Sciences,2026-04-11,0,6.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-04-12,1,22.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-04-14,1,22.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-04-16,1,24.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-04-19,0,16.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-04-20,0,2.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-04-21,1,30.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-04-26,1,22.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-04-27,0,8.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-05-01,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-05-03,0,4.0,90.0,1
Student_23798,s23798@university.edu,Social Sciences,2026-05-13,1,22.0,100.0,1
Student_23798,s23798@university.edu,Social Sciences,2026-05-15,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-05-16,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-05-19,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-05-22,0,8.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-05-23,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-05-28,0,8.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-05-29,1,28.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-06-03,2,46.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-06-14,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-06-16,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-06-17,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-06-19,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-06-20,0,8.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-06-21,0,12.0,89.0,1
Student_23798,s23798@university.edu,Social Sciences,2026-06-27,0,10.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-06-28,0,12.0,100.0,1
Student_23798,s23798@university.edu,Social Sciences,2026-06-30,0,8.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-07-01,0,16.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-07-05,0,8.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-07-10,0,10.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-07-14,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-07-16,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-07-20,0,10.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-07-24,2,54.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-07-25,0,8.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-07-26,0,4.0,88.0,1
Student_23798,s23798@university.edu,Social Sciences,2026-07-27,0,2.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-07-28,0,6.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-07-29,1,24.0,100.0,1
Student_23798,s23798@university.edu,Social Sciences,2026-07-30,0,8.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-08-09,0,2.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-08-10,0,2.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-08-15,0,10.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-08-16,0,8.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-08-21,0,8.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-08-22,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-08-27,5,118.0,87.0,1
Student_23798,s23798@university.edu,Social Sciences,2026-08-31,0,6.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-09-01,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-09-02,0,16.0,100.0,1
Student_23798,s23798@university.edu,Social Sciences,2026-09-03,0,8.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-09-06,0,2.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-09-17,1,22.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-09-27,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-10-01,1,36.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-10-08,0,18.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-10-09,1,26.0,89.0,1
Student_23798,s23798@university.edu,Social Sciences,2026-10-12,4,90.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-10-13,0,14.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-10-19,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-11-07,0,10.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-11-08,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-11-12,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-11-13,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-11-15,0,4.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-11-23,0,6.0,,0
Student_23798,s23798@university.edu,Social Sciences,2026-12-10,0,4.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-03-18,4,86.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-03-19,0,10.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-03-20,0,12.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-03-21,0,16.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-03-24,0,6.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-03-25,1,20.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-03-26,3,60.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-03-27,0,2.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-03-30,0,8.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-04-05,0,4.0,61.0,1
Student_27759,s27759@university.edu,Social Sciences,2026-04-10,0,14.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-04-11,0,8.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-04-27,0,10.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-04-29,2,46.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-05-03,0,2.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-05-07,0,4.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-05-12,1,22.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-06-07,2,54.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-06-16,0,8.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-06-22,0,2.0,61.0,1
Student_27759,s27759@university.edu,Social Sciences,2026-06-23,0,2.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-06-28,0,2.0,100.0,1
Student_27759,s27759@university.edu,Social Sciences,2026-07-06,3,72.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-07-09,0,6.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-07-18,0,2.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-07-31,0,2.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-08-10,1,30.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-08-20,1,30.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-08-21,0,2.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-08-22,1,34.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-08-31,0,2.0,67.0,1
Student_27759,s27759@university.edu,Social Sciences,2026-09-14,0,8.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-09-21,1,28.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-09-29,2,40.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-10-05,0,8.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-10-08,0,2.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-10-11,0,2.0,55.0,1
Student_27759,s27759@university.edu,Social Sciences,2026-10-18,0,2.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-10-23,0,2.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-11-19,0,14.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-11-21,0,8.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-11-26,0,6.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-11-29,0,2.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-11-30,0,2.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-12-01,0,10.0,,0
Student_27759,s27759@university.edu,Social Sciences,2026-12-06,1,20.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-03-17,5,132.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-03-21,5,158.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-03-23,2,54.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-03-24,1,24.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-03-25,1,26.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-04-06,0,12.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-04-07,0,6.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-04-11,1,26.0,80.0,1
Student_30091,s30091@university.edu,Social Sciences,2026-04-17,0,18.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-04-22,0,10.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-04-26,0,14.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-05-09,0,6.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-05-10,5,126.0,72.0,1
Student_30091,s30091@university.edu,Social Sciences,2026-05-12,0,4.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-05-13,0,18.0,100.0,1
Student_30091,s30091@university.edu,Social Sciences,2026-05-16,1,38.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-05-18,5,104.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-05-19,0,4.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-05-23,2,50.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-05-25,0,4.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-05-26,0,4.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-05-29,5,140.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-05-30,0,16.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-06-03,4,90.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-06-06,0,6.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-06-09,2,40.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-06-11,4,92.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-06-12,4,90.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-06-14,1,24.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-06-16,0,8.0,,0
Student_30091,s30091@university.edu,Social Sciences,2026-06-28,5,180.0,100.0,1
